CruiseNumber,Date,Year,DOY,Source,Station,Zooplankton
Cruise 4,10/8/2019,,,COLBY,1,54.131
Cruise 4,10/8/2019,,,COLBY,2,71.679
Cruise 4,10/8/2019,,,COLBY,3,38.81
Cruise 4,10/8/2019,,,COLBY,4,43.611
Cruise 5,10/22/2019,,,COLBY,1,17.834
Cruise 5,10/22/2019,,,COLBY,2,7.545
Cruise 5,10/22/2019,,,COLBY,3,19.617
Cruise 5,10/22/2019,,,COLBY,4,20.264
Cruise 6,11/5/2019,,,COLBY,1,21.97
Cruise 6,11/5/2019,,,COLBY,2,44.079
Cruise 1,8/27/2020,,,COLBY,1,78.273
Cruise 1,8/27/2020,,,COLBY,2,58.671
Cruise 1,8/27/2020,,,COLBY,3,63.085
Cruise 2,9/1/2020,,,COLBY,1,96.918
Cruise 2,9/1/2020,,,COLBY,2,42.341
Cruise 2,9/1/2020,,,COLBY,3,49.158
Cruise 2,9/1/2020,,,COLBY,4,20.61
Cruise 3,9/17/2020,,,COLBY,1,199.184
Cruise 3,9/17/2020,,,COLBY,2,102.697
Cruise 3,9/17/2020,,,COLBY,3,28.653
Cruise 3,9/17/2020,,,COLBY,5,69.074
Cruise 4,9/24/2020,,,COLBY,1,49.856
Cruise 4,9/24/2020,,,COLBY,2,27.358
Cruise 4,9/24/2020,,,COLBY,3,18.041
Cruise 4,9/24/2020,,,COLBY,4,16.367
Cruise 5,10/13/2020,,,COLBY,1,78.862
Cruise 5,10/13/2020,,,COLBY,2,112.973
Cruise 5,10/13/2020,,,COLBY,3,57.098
Cruise 5,10/13/2020,,,COLBY,5,124.246
Cruise 6,10/28/2020,,,COLBY,1,8.427
Cruise 6,10/28/2020,,,COLBY,2,44.028
Cruise 6,10/28/2020,,,COLBY,3,36.737
Cruise 6,10/28/2020,,,COLBY,4,59.235
Cruise 6,10/28/2020,,,COLBY,5,28.568
Cruise 1,9/9/2021,,,COLBY,1,59.387
Cruise 1,9/9/2021,,,COLBY,2,41.336
Cruise 2,9/14/2021,,,COLBY,1,55.864
Cruise 2,9/14/2021,,,COLBY,2,98.238
Cruise 2,9/14/2021,,,COLBY,3,36.957
Cruise 2,9/14/2021,,,COLBY,4,55.436
,9/15/2021,,,COLBY,1,30.531
,9/15/2021,,,COLBY,2,56.949
Cruise 3,9/28/2021,,,COLBY,1,59.904
Cruise 3,9/28/2021,,,COLBY,2,72.575
Cruise 3,9/28/2021,,,COLBY,3,29.453
Cruise 3,9/28/2021,,,COLBY,4,31.097
Cruise 4,10/12/2021,,,COLBY,1,43.111
Cruise 4,10/12/2021,,,COLBY,2,54.404
Cruise 4,10/12/2021,,,COLBY,3,39.779
Cruise 4,10/12/2021,,,COLBY,4,21.316
Cruise 5,10/26/2021,,,COLBY,1,45.97
Cruise 5,10/26/2021,,,COLBY,2,37.892
Cruise 6,11/8/2021,,,COLBY,1,30.24
Cruise 6,11/8/2021,,,COLBY,2,28.003
Cruise 6,11/8/2021,,,DARTMOUTH,3,24.073
Cruise 6,11/8/2021,,,DARTMOUTH,4,13.861
,6/7/2022,,,REU,1,51.859
,6/7/2022,,,REU,2,58.726
,6/7/2022,,,REU,3,59.658
,6/7/2022,,,REU,4,58.787
,6/16/2022,,,REU,1,58.481
